OBJECTID,type,subtype,x,y,TAZ
473,6, Clinics,46.6944345,24.6916539,878
474,6, Medical Centers,46.6820158,24.6944988,844
475,6, Medical Centers,46.6903822,24.690543,877
476,5, Mosques,46.6930109,24.6939426,860
477,5, Mosques,46.7382353,24.6843093,235
478,5, Mosques,46.7229743,24.6074487,336
479,5, Mosques,46.7108898,24.6385158,1227
480,6, Hospitals,46.6870149,24.7014666,845
481,6, Clinics,46.6766429,24.574875,167
482,2, Restaurants,46.7496049,24.6284801,326
483,2, Restaurants,46.730615,24.6037085,1364
484,3, Shopping and Services,46.7761917,24.6830143,924
485,3, Shopping and Services,46.6745337,24.7138989,789
486,5, Mosques,46.7049659,24.7470115,84
487,5, Mosques,46.7248106,24.6359965,1262
488,6, Training Centers,46.6932735,24.7399664,807
489,6, Hospitals,46.6426063,24.6064474,1075
490,5, Mosques,46.721867,24.612798,318
491,5, Mosques,46.720877,24.6280545,305
492,5, Mosques,46.7306869,24.6194498,312
493,3, Shopping and Services,46.7553458,24.7650914,888
494,5, Mosques,46.6834835,24.6148141,1105
495,6, Medical Centers,46.6926705,24.6804945,102
496,6, Clinics,46.6702863,24.5934567,476
497,5, Mosques,46.6850343,24.5822993,1411
498,6, Hospitals,46.6053219,24.5781681,1390
499,6, Medical Centers,46.8137828,24.7350878,358
500,6, Hospitals,46.6552284,24.800731,591
501,5, Mosques,46.747916,24.6107645,1461
502,6, Medical Centers,46.7337041,24.7573964,814
503,6, Medical Centers,46.6841942,24.6953245,844
504,2, Restaurants,46.8090717,24.7425494,996
505,5, Mosques,46.5773364,24.7356045,632
506,6, Clinics,46.8404512,24.723366,1007
507,6, Clinics,46.680437,24.5853563,1411
508,5, Mosques,46.720428,24.6817084,229
509,5, Mosques,46.7149243,24.623058,299
510,6, Clinics,46.711695,24.5578144,387
511,6, Private Schools,46.684392,24.7134858,92
512,6, Private Schools,46.6903,24.715769,93
513,6, Private Schools,46.6895051,24.7158707,93
514,6, Private Schools,46.6550052,24.758704,58
515,6, Private Schools,46.6627533,24.7635795,708
516,2, Restaurants,46.6791215,24.7019791,843
517,2, Restaurants,46.7282882,24.6698386,1140
518,5, Mosques,46.6860786,24.9162284,678
519,5, Mosques,46.6675618,24.5479588,1418
520,5, Mosques,46.6124487,24.6892393,416
521,6, Private Schools,46.6986754,24.7042881,850
522,6, Private Schools,46.6968581,24.7021045,89
523,6, Private Schools,46.7100998,24.708114,866
524,6, Clinics,46.7911533,24.7668774,142
525,5, Mosques,46.7329664,24.6172621,312
526,6, Medical Centers,46.6872005,24.5839744,169
527,6, Medical Centers,46.6653424,24.706675,828
528,6, Medical Centers,46.6788961,24.7024267,843
